entry,text,tagger,policy
2753,WHILE BANKING WITH BANK OF AMERICA I ASKED TO SEE SIGNATURE CARD AND WAS DENIED. DISPUTING FRAUD THAT WAS DONE BY AN EMPLOYEE THE BANK FAILED TO RESOLVE ANY ISSUE INCLUDING THEM GIVING ME CHECKS WITH WRONG ROUTING NUMBER.   ,boyle20@purdue.edu,0
2754,There was a debit or XXXX debuted from my rush card on XX/XX/2016 and I did not authorize such a transaction XXXX XXXX.  XXXX XXXX   ,boyle20@purdue.edu,0
2757,"There were several unauthorized debit card transactions on my account from XXXX/XXXX/2015 to XXXX/XXXX/2015. On XX/XX/XXXX, XXXX transactions for a total of {$970.00} were unauthorized. On XX/XX/XXXX, XXXX transactions for a total of {$600.00} were unauthorized. I lost my card, and reported the card lost immediately, within minutes, of realizing that I had lost it. Regions bank refuses to return my money and blames me for stealing money from myself. It claims that  cardholder acknowledges PIN was not compromised '' when in fact the opposite is true. I live paycheck to paycheck and I really need my stolen money returned to me. What a horrible bank   ",kim1845@purdue.edu,0
2760,"In XXXX of XXXX, I took out XXXX business loans from Bank of America. XXXX was in the amount of {$25000.00} and the other was in the amount of {$140000.00}. Each loan was given it 's own account number and each month I sent in XXXX checks as payment ... XXXX for each account. XXXX account number ended in XXXX and the other number ended in XXXX. In XXXX of XXXX, the bank erroneously credited both checks to XXXX account and I received notice that the other account was delinquent. I called the customer service number and resolved the issue, but in order to prevent future accounting errors, I decided to have the funds automatically debited from my checking account and applied to the appropriate loans. I received an email with what was supposed to be the proper paperwork, but it was only for XXXX. The next day I received another email with a form which I assumed was for XXXX, but it was also for XXXX. Once again, I called the customer service number and spoke with a woman. I gave her my name and XXXX account numbers. She informed me that both accounts had been consolidated and the new number ends in XXXX. I asked her what the amount was for the new consolidated loan, and she told me it was {$320000.00}! I was shocked, as this amount was twice as much as I had borrowed. She placed me on hold and when she returned, she said that they had another customer with my exact same name and exact same account number with the amount she had quoted me earlier. She told me that my loans had NOT been consolidated. She claimed to have resolved the issue and everything would be fine from here on out. Naturally, I was skeptical. So I sent an email to a customer service rep that I had been dealing with asking to send me XXXX ACH enrollment forms ; XXXX for each of my loans. From there on out, I began dealing with a man by the name of XXXX XXXX. He sent me an email with ACH enrollment forms which I completed and returned to him along with XXXX voided checks. He also asked me to send him XXXX separate emails, XXXX for each account with the following information : o Customer Name and Account Number ; o Customer 's Check Number ; o Amount of payment ; o Effective date of payment ; o Bank Name ; o XXXX Number ; o XXXX Number When I had completed all of that, I assumed I was finished. However, I received another email from XXXX XXXX about a month later stating that he had sent me the wrong form and that I needed to fill out another form. Once again, this form was for only XXXX loan and not XXXX. The email was addressed to XXXX XXXX ( My name is XXXX XXXX ), so I assumed that he had sent it to the wrong person. I replied to the email asking him if he had indeed sent it to the wrong person and asked for reassurance that the money was being automatically withdrawn from my account each month. He replied to the email stating that it had not. By now I had been dealing with this mess for over 4 months. I needed to speak with him personally and I could n't reach him by phone. I eventually became so busy that I forgot about the matter. A few months later, I was notified that my accounts had gone into default. They are now demanding full payment and are threatening me with legal action. I paid the smaller loan off completely and ca n't afford to pay the second XXXX off of about {$130000.00}. I asked to be put back on the original payment plan, and XXXX told me that I could. He sent me paperwork stating that over the course of 8 months, I would pay them about {$20000.00}. At the end of 8 months I would then pay off the entire amount of {$130000.00}. None of my {$20000.00} would be applied to principal. This is not what I was promised. I was promised that I could be put back on the original payment plan. Bank of America is as much ( if not more ) to blame for these accounts going into default. There was also no notification of delinquency before the default.   ",li470@purdue.edu,1
2761,"I live in a subdivision which includes a XXXX XXXX XXXX. The monthly fee for the XXXX is managed by Union Bank NY a part of XXXX XXXX XXXX XXXX XXXX XXXX XXXX along with XXXX XXXX XXXX in XXXX, GA. They began managing the XXXX in XXXX 2015. Since XXXX I have paid my dues on time each month. In XXXX, XXXX and XXXX I received a notice that my payments had been made late and I owed a late fee. Payments are due on the XXXX and a fee is charged for any payment received after the XXXX. All of my payments for those months had been made prior to the XXXX. When I received the first notice I send an email with payment information to the address listed in the letter. I received no response. When I received a second notice I called XXXX XXXX with XXXX XXXX services. He told me Union Bank had applied my payment incorrectly and he would take of it. However, I received a third notice in XXXX with the same issue. Union Bank and XXXX XXXX XXXX have yet to resolve this issue.   ",afrances@purdue.edu,0
2765,"First Merit Bank has charged hundreds of dollars in inactivity fees. Upon realizing this, I decided to make a payment of {$100.00} from the account, which would take the balance down to a minimal amount ( and, presumably, avoid the inactivity fees ). Most recently, XXXX separate inactivity fees - {$35.00} each, {$70.00} total - which hit my account at the same time as the {$100.00} payment I attempted, caused the account to be overdrawn. It does not seem right that they can cause my account to be overdrawn as a result of their fees. Any assistance would be greatly appreciated.   ",cthieme@purdue.edu,1
2768,"On XX/XX/2015, I viewed my checking account activity at XXXX, and a check I had written for {$80.00} had not been presented. I had a direct deposit scheduled for XXXX, XX/XX/2015. I checked my account summary again the next day, and noticed a {$35.00} fee assessed to my account for overdraft. My concerns are : 1. Exorbitant bank fees for the smallest infractions.  2. There was money in my savings account to cover the {$8.00} that generated the fee.  3. I was told by bank officials that they have previously returned fees to me and will not do it again. They fail to understand that I am the one that works overnight for the money, and it does not belong to them. I am supporting XXXX XXXX grandchildren and the money that they so casually deduct is needed for gas, kids lunch, etc.   ",zhan1565@purdue.edu,0
2770,"I have a serious issue with this Rep with BB  T. Her name is XXXX and I spoke with her today after I called back again when they hung up on me. Not a way to do business.   I have an issue with BB  T Bank. My account number ending in XXXX. This is a student account because I am a college student.Now I opened up an online account and I requested the overdraft protection. I had a {$6.00} overdraft and they charged me {$36.00}. Ok I understand that. That was less than a week ago. Now today I get a letter stating that another {$36.00} fee was attached to my account and Now its at a - {$77.00}. So I called BB  T at XXXX and also the number of the back of my card since they hung up on me the first time XXXX. I spoke with a XXXX. I told her that I did n't understand where the extra {$36.00} fee came from. She told me they paid the overdraft and I knew that and that they charged me another fee since it was n't paid within 7 days something that I never heard of before. I told her what is the purpose of the overdraft protection if I am still being penalized. I am being charge {$70.00} plus dollars for {$6.00} dollars. She stated that the overdraft protection is a courtesy that the bank can pay it or not pay it. So I asked her whats the purpose of it if I am still penalized. I had already made contact via email regarding the initial {$36.00}. So I asked XXXX am I going to be charged every week another {$36.00}. She said only once. I told her to close out my account and send me the remaining balance of {$77.00} because I was n't misled like this with the other bank. She told me she could n't close my account out until I bring it current then she can do it. I told her that I want that account closed right now. That I am not paying anything until I get the information that states its closed and I get the balance in my hand. She then threatens me by saying she will send it to collections. I told her I do n't care who she sends it to. CLOSE IT OUT. So now since I do n't want to do business with BB  T, she is going to deliberately allow my account to linger and accrue more fees in an attempt to inflict harm to my credit. What Bank reps you know threatens collections when a consumer wants to stop doing business with them. That 's crazy. At that point, I was getting irritated with her and to keep from cursing her out, I hung up. No one threatens me to do anything. Who is she suppose to be. They trick the consumer into opening these online accounts to get over on them later. I have a right not to do business with anyone who allows their rep to behave this way. If I have to go to the media with this, I will do just that. But I suggest BB  T get a grip on its employees and their scheming practices. I will not pay any money to them until they close out my account. And I am only paying the {$77.00} I should n't even pay that since they never disclosed a 7 day fee of an additional {$36.00}. This is the first time I have heard of such nonsense.   ",zheng216@purdue.edu,0
2771,"I was sent a cashier 's check for {$1900.00} on XXXX XXXX, 2015. I deposited it in my bank account and the funds were in my available balance the next day. The check obviously cleared in the bank since the entire funds were made available to me. However, on the XXXX of XXXX. I called the bank to find out why my account was withdrawn and was told that the check for {$1900.00} was fraudulent and was being sent back. I was also told that it was my fault for not waiting for the bank to clear the check and make sure that the check was good. I was also told that the reason the bank made the funds available to me was because I have been a long time customer and have never had problems like this before. I trust that when the bank makes funds available to me that they are really available to me. I have completely lost my trust in US Bank. I am now over {$700.00} withdrawn in my bank account and I was told I am responsible for paying this money back. This is wrong on many levels and I feel I should be refunded this money because this the bank made the funds available to me.   ",boyle20@purdue.edu,1
2773,I went to American bank to made a deposit of {$500.00} for my mama and the ask me for ID I believe need show ID if is over {$10000.00} I would like know if I 'm wrong and why I need show ID for that amount Thank   ,lo31@purdue.edu,1
2776,"I was attempting to move money from my PayPal account this morning to my PayPal pre-paid card. This action was unsuccessful though I had funds in my PayPal account. I signed into PayPal and saw a note that the funds in that account were being held and that their system identified another account with a debt. This is the first time I have been told of this and found out not my a formal letter, nor any other communication until I received an email later on this AM. I contacted them concerning this  other '' account and requested that information be provided to be in written form, and requested that my account be released. After being bounced around from limitations to the other office I finally was able to have a CS fill out a fraud claim. I informed them that 1 ) the XXXX informed me three years ago that my identity was stolen ; 2 ) I am a former XXXX on XXXX was was informed in XXXX that my information had been hacked. I also noted that I needed the funds to purchase my medications this afternoon. I was told that my case was being expedited and after a review they may release my money. If they were able to not do whatever they do, I would have no recourse legally. First off I was denied a formal letter with information to be able to review and dispute. Secondly, I was not given any notice or time about this. Thirdly, PayPal uses some algorithm which they do not share or do they provided to a consumer in written mailed out form. And lastly, the hold a consumer 's funds on the basis of this system and are not willing to provide the consumer anything about the situation. At this time I am waiting for PayPal to honor their promise to review, contact me, and lift the limitations on my account which not only apply to my funds, but by bank debit card, and another card which I am unable to anything with that information. In other words it they have taken hostage of my financial records and without due process of the law ; in some sense this action can be seen as harassing the consumer as it is a non-verbal threat in order to make the consumer pay a debt that they may or may not owe.   ",zheng216@purdue.edu,0
2779,"On at least XXXX previous occasions, I request Scottrade cease and desist communicating with me via email and other methods of communication, citing State Unsolicited Email Law, and Federal Debt Collection Practices, yet Scottrade has failed to acknowledge these email and has sent me another email, in violation of numerous State and Federal statutes.   ",dai77@purdue.edu,0
2785,"This is a complaint against Branch Banking  Trust, to request removal of my XXXX credit report dated XXXX/XXXX/2015. This inquiry to my credit was not authorized by me, has been without my authorization, I do not have any product or relationship with you, no Loans product, therefore I make this request to immediately remove this inquirie that aparace in my report and that affects my score negatively, and request adhere to the laws of fair credit and stir to eliminate an error that is not mine and never authorized, I appreciate your prompt help to my request   ",zheng216@purdue.edu,0
2786,"I accidentally left a check made out to myself inside of a rental car. Reported it promptly to Chase, and even though it was made out to myself, and had a forged endorsement, Chase and the depositing bank allowed it to be cashed by the scammer.   Chase closed the investigation, within a week, BEFORE processing my affidavit or even attempting to investigate, due to  Lack of Care '' on my end because I left the check somewhere. The police department assigned a Detective who is actively looking for a suspect, and wants to prosecute, yet Chase just dismissed the claim, even though it clearly is a case of check fraud, and I reported it to Chase the same day I realized the check was missing.   ",dean24@purdue.edu,1
2788,"On or around XXXX/XXXX/14 Ocwen loan servicing LLC . sent me my last dispursement check from my Escrow Disbursement account, to finish my repairs on my house from Hurricane XXXX. I NEVER RECEIVED THE CHECK. I called Ocwen three times on or around XXXX/XXXX/14 - XXXX/XXXX/14. first time I asked when the check was coming, they said give it more time it is in transit. Second time I called them I told them I did not recieve my check and they should stop payment. Their response was  give it more time ''. Third time I called them, I told them I still have not received the check and for them to definitely stop payment. Their response was, the check has been cashed and that I needed to go to XXXX XXXX XXXX and request a fraudulent claim form. I told them that it was their job, being that the check was not from my account. ALL OF THIS IS ON THEIR PHONE RECORDINGS OF ALL OUR CONVERSATIONS. I asked that they send me a copy of the check, it took Ocwen approximately eight months plus numerous phone calls, to get me a copy of the cashed check. Their explanation of the delay was that they were transferring their insurance loss department to a new location in Texas and all paper work was in transit. Finally, I received a copy of the cashed check and as you can see my signature is not present and nor did I give any authorization to cash this check. I filled out the necessary paperwork to the best of my ability to get this matter resolved, which I will attach. All three banks refuse to take responsibility.  I believe XXXX XXXX is at fault mostly for not following proper procedures and taking and opening an account with an improperly endorsed check.  XXXX XXXX XXXX also did not follow proper banking procedures because they did not check the endorsements and released the funds anyway to XXXX XXXX.  Ocwen is also at fault for not stopping payment when requested and simply not taking any responsibility or helping to resolve this situation in a timely manner.   ",flanagak@purdue.edu,0
2792,"Bank of America treated my unfairly by charging me XXXX {$35.00} overdraft fees. I had {$220.00} in my account on XX/XX/2016. I charged {$4.00}, {$84.00}, and then an automatic deduction posted for {$230.00}. They allowed my debit card to work so I believe the auto payment took place after the XXXX smaller charges. They cheated me out of {$70.00}. I believe I should be penalized for the {$230.00} charge only. I would like to receive credit for both erroneous fees. I called today, waited on hold XXXX minutes, the employee waive XXXX fee and I requested to speak with her supervisor. She placed me on hold, came back XXXX minutes later and said she would now transfer to supervisor, the phone rang XXXX times and they disconnected me.   ",flanagak@purdue.edu,0
2796,"I made a credit card purchase, point of sale. and the amount was debited from my account. two weeks later I was overdrafted by the amount of the sale and the date of the debit was almost two weeks after the sale. Subsequently the bank has charged me XXXX overdraft fees. I spoke to the retailer and they said that they put the charge through immediately so some manipulation was being done solely by the bank ( Bank Of America ). The bank is not supposed to allow any point of sale purchase through if the funds are not available and to be debited immediately.   ",ahbruns@purdue.edu,0
2798,"On XXXX/XXXX/13, without my authorization, Bank of America withdrew {$29000.00} from my personal account to charge off my company credit card ( XXXX - Bank of America ). My corporation had a separate bank account and a Business card account with Bank of America not linked with my personal account.   ",afrances@purdue.edu,0
2807,I had XXXX in my account XXXX checks wrote for XXXX and XXXX dollars went in on one day they charged a maintenance fee for XXXX cents bringing account to XXXX and closed my account same day the next day my direct deposit entered and they told me I could not get my funds in my account unless I went to teller I did that and the supervisor denied me of any money from my account but if I had at least XXXX in positive or negative my account would have remained open the XXXX cents was a partial of a monthly XXXX dollar fee in XXXX was debited the day my deposit was credited is this fair or should the system be changed   ,mxuan@purdue.edu,0
2811,"There is a account from Capital One bank on my credit report, I have never had an account at Capital One bank.   ",zhan1565@purdue.edu,0
2816,i went to deposit my checks on XXXX/XXXX/2016 .The teller informed me the checks were on a 15 day hold because they were from out of town. i informed here XXXX was a gemeral motors penison check and i have been banking here for over 25 years. teller stated she would have to get her boss ( supervisior XXXX refused to give me her last name ) her supvisior informed me i had too many bounched checks but i tried to explain to her if she put the checks into the bank i wouldnt have bounced and she informed me if i took care\ of my finances i wouldnt have bounced checks. i work with the public and if i talked to a customer like she did i wouldnt have a job. i am so upset i am changing banks after 25 years she dosnt know why my finances are perfect or why occ i have a bounched checks thank you   ,cthieme@purdue.edu,1
2828,"On XXXX XXXX, 2015 we visited Bank of America Branch in XXXX, CA.  I wanted to access my safety deposit box.  For 45 minutes the clerk  XXXX XXXX '' was unable to locate my safety deposit box. Although the week before I was at the same branch where I had retrieved the documents from the safety deposit box but on that day I was planning to return it.  Then the manager named  XXXX XXXX '' approached us. She was very abrasive and rude. My XXXX year old son was getting upset and crying. I asked XXXX XXXX to lower her voice and be polite. She was not been polite and continued her abrasiveness and aggressive behavior towards us.  She even claimed I have no safety deposit box.  Then after an hour they found my deposit box which they admitted they had written all my information wrong.  I did file a complaint right there and did let them know that their unprofessional behavior is not acceptable.  Their incompetence caused my son and myself a great deal of stress and discomfort.  She said contact their Area manager. I called XXXX XXXX XXXX numerous times. he never returned my call.   ",lo31@purdue.edu,1
2829,"I purchased an item via my paycard XXXX XXXX. I had to return it to the vendor. Little did I know it was through XXXX vendors, Ebay, and Pay Pal. Even though my bank shows the vendor returned my money, the money is held in Pay Pal. Ebay does nothing but got rid of my returned item. Over 3 hours on the phone since XXXX XXXX trying to get my credit back to my card. Pay Pal reps laughed at me when I advised I do n't have the a bank account or a way to cash a check and XXXX of my friends said XXXX no they quit using pay pal because of hacking, issues, and keeping their money. The top tier supervisor offered me to use pay pal funds by going to XXXX XXXX and XXXX XXXX XXXX. I told that guy I have no kids so I wo n't be going to XXXX XXXX XXXX and I have no use to go to XXXX XXXX. I repeated XXXX times I do n't have a bank and no way to cash a return check and that i was not interested in their buy to selected vendors they were offering. I needed my money back to my original paycard account as they promised but never delivered. They lied about it and never intended to so for 3 days I waited. When no credit I called back and some of their answers were  oh, we did n't have your street address ; oh, it shows resolved ; oh it shows you ca n't go back to your original card because your card is a STAR card. I called my paycard banking institution and they stated they are NOT a STAR card. I called Pay Pal back and I got the same run around. After that they locked me out of my account for 4 hours. I had to call from XXXX to XXXX several times and they told me my email address was never verified. That was also a lie. How else would I have ever been on the site in the first place. They made me go through tight security questions to answer in order to get back into pay pal so I could see my account. These fraudsters made me answer very personal questions they stated was public knowledge. And the fact is I already completed entirely different security questions of my own. I had to answer questions that were not even true. They stated I had lived with my sister-in-law is a specific zip code. Again lies. All lies for you not to get into your account. I finally was able to answer a set of security questions of my very private life ( that they had that was NOT just public record ). I got into my account and scheduled a check that stated would be approximately 2 weeks for delivery. AGAIN MY MONEY they are playing with. They also made me pay a fee of {$1.00} ( which they said {$1.00} ) and now I have to pay a fee of my own money to cash the check when it ( if it ) arrives in two weeks. I was also emailing ebay and the vendor. They all pointed fingers at each other and blamed each other just as such as fraudsters do. I told them I would report them to the FTC and FCC and they said GO AHEAD. I in no way upon purchasing my item agreed if you have a return it goes to pay pal. They should make the customer aware before purchasing that if you return an item then your funds will be placed in pay pal and you will have to transfer to a bank. if you have no bank or way to retrieve your cash this is not the best payment method for you. SHOP SOMEWHERE ELSE. But by time the class action lawsuit occurs we may get XXXX cents. The corruption must stop and the harassment must stop. They are using XXXX techniques on the common good and trust of a customer. I hope they get the karma they deserve. Shame on EBAY for being a part of it. I will never use any of those services again and I will pass the word on to everyone I know. NEVER EVER USE PAY PAL OR EBAY OR YOU WILL GET XXXX.   ",jdenhar@purdue.edu,1
2832,"I 've never been told that the bonus is calculated according to the statement period instead of calendar month, and the Santander rep who opened my account told me that every month I pay XXXX bill online and receive more than XXXX direct deposit, then I 'll get XXXX dollars bonus each month. And their public advertisement also indicated that it 's per month instead of per statement cycle. So, I paid XXXX bills online and have my employer direct deposit my salary to my Santander account. In XXXX 2015, I only received XXXX bonus for direct deposit and called Santander for the missing XXXX bonus for the online payment, they then told me that it should be counted by statement period, as I paid XXXX payments in XXXX, XXXX payment on XXXX, XXXX payment on XXXX, they wo n't pay for the XXXX bonus in my XXXX statement. The information I got was very misleading and it 's not right for them to forfeit my XXXX XXXX bonus for bill payment.   ",boyle20@purdue.edu,1
2841,"After my debit card and a book of checks were stolen, I called and had my card canceled and a freeze added to my checking account. A little while later I went to a branch of my bank and they began the process of switching me to a new checking account number. Because of the conversation and a few other past issues with the bank, I decided to close my checking account and find a new bank.  I visited the Wells Fargo website for information about closing accounts and was told it needed to have a zero balance in order to process. I transferred the remaining funds in the checking account to my Wells Fargo savings account and went to a different branch, XXXX closer to my office.  There, a very nice banker told me he could close my savings account ( the XXXX with the transferred checking funds ) but had to wait a day to close the checking account because of pending transactions. He showed me where my checkings account had a zero balance, with the XXXX pending transactions included. We closed savings and I called the next morning to the Wells Fargo customer service line to close checking ( because the website says that 's possible ).  Instead, I was told those XXXX pending items had n't cleared - even though all XXXX were conducted by noon the previous day and the bank 's policy is to post transactions made by XXXX on a business day by XXXX. XXXX of the transactions were with the bank, including removing a small amount of cash and moving some checking funds to my linked XXXX credit card.  I was told the process could be finished by XXXX meaning I could call after lunch and close the final account.  But I checked the account after lunch to confirm the pending items were posted so I could close the account and an overdraft charge was added to the checking account for transferring all the funds out to my savings.  I spoke with a customer service representative who said he could do nothing because the overdraft charge was justified, even though my account was zeroed out in order to close it the day before and nothing else posted.  I went to the branch that helped me the day before and the banker that helped me was the XXXX to assist me again. He called his supervisor over and told him my account was rightfully at {$0.00} the day before. The supervisor looked at my account and agreed it was n't right. He tried to remove the overdraft charge, but the systems were n't working and told me I would have to go to another branch the next day to make sure it was removed and my balance was back at {$0.00}.  Those XXXX pending transactions were all made well before the cutoff the day before, but the customer service representative said she ca n't close a XXXXbalance account with the pending accounts ( including the XXXX done with the bank ). But the transfer of checking funds to my savings account, which was done at XXXX., was posted - not pending, and I find that suspect.  Now I 'm having to go to the bank again - on a weekend - to see if they processed the overdraft refund and if my pending transactions are finally posted, a full day after they were supposed to be.  I have not done anything with my account as far as spending or transferring funds other than those transactions, yet by not posting them in a timely manner, I 'm being held hostage with this account and incurring fees that are not justified.  The bank has not followed it 's own policy for posting transactions to customer accounts, they are levying bogus charges and then their own staff members are admitting it 's not correct. I have been hung up on by a customer service supervisor today, I have more waiting and travel tomorrow to ensure they 've fixed another of their mistakes, and I am being told every time I contact them it 's either  not their problem '' or their systems are down again and I can not close my account with a {$0.00}.   ",ahbruns@purdue.edu,1
2846,"I called the bank. They told me I had fraud on my account, so they locked me out. I can not access my account funds to pay my Bills ( I even asked if I could just close the account ). Now every time I call they want to over authenticate me. I have told them that I would get on skype with them and show them my face and my ID ( Drivers license ) in person. I do n't trust their authentication methods to begin with because it seems that they failed to protect me when they where suppose to do so.   ",wu467@purdue.edu,0
2847,"On XXXX XXXX, 2015 I used my Wells Fargo ATM card to withdraw {$200.00}. Instead of issuing me the money, the ATM shut down, but did deduct {$200.00} from my checking account. That day, I filed a complaint via WF customer service ( telephone ). I was told my complaint would be settled in 3 days. After 3 days I called and was told it would take 10 days. After 10 days I spoke to WF 's ATM Manager and she said the investigation could take 45 days -- or longer. She basically accused me of trying to defraud Wells Fargo and when I asked if she considered me a criminal, she was silent. She was so abusive that I expected the police to ring my doorbell any day and arrest me! The Wells Fargo ATM Manager is an exceedingly rude, belligerent bully. Because of her -- after being a customer for 35 years! -- I decided to close my Checking Account and went to my local branch at XXXX XXXX XXXX, XXXX where I spoke to Service Manager XXXX XXXX.   This was on XXXX XXXX, 2015. XXXX XXXX told me that because WF has issued me a  temporary credit '' of {$200.00} while it investigated my ATM claim, I could not close my account. On XXXX XXXX I wrote WF CEO XXXX XXXX a letter explaining what happened and telling him that WF was holding my checking account hostage ( not allowing me to close it ) and I offered to let him keep the disputed {$200.00} -- just let me close my account!!! He did not respond. Around XXXX XXXX, I received a letter from WF saying the company was still researching my complaint. On XXXX XXXX, I sent another letter to XXXX telling him again that I want to close my account, and I included a check for the disputed {$200.00} hoping that would induce him to allow me to close my account. Did n't happen.   Around XXXX XXXX, I received a letter saying that the claim was finalized on XXXX XXXX in my favor. With that notice Wells Fargo was, in my opinion, admitting that I am not the criminal that the ATM manager called me. I did not try to defraud the company, something I knew all along.   At the end of XXXX, I received a call and letter from XXXX XXXX, ATM/Debit Card Executive Office. We spoke around XXXX XXXX. I told her I want to close my checking account and asked if I could do it over the phone. She said yes and put me in touch with someone who took all of my information and said I would receive a check for the remaining balance in the account ( {$1500.00} ) within five days. I just looked at my account online a few minutes ago and it appears not to have been closed and the {$1500.00} remains in my account -- unreachable by me. If I try to write a check against the {$1500.00}, WF may claim that I knowingly wrote a check against a closed account, even though the account appears to be open. So the money just sits in the account, frozen in time.   What must I do to close my checking account with Wells Fargo? It has been more than 90 days since the ATM incident and it 's going on 3 months since I first tried to close the account on XXXX XXXX. In the meantime WF has my money and is not letting go.   ",afrances@purdue.edu,1
2848,"My credit card erroneously debited my bank account ( PNC Bank ) for the entire card balance instead of the payment submitted. There were insufficient funds to cover the payment, which was XXXX my bank balance. PNC Bank approved the charge, adding overdraft fees and leaving me $ XXXX overdrawn, with my rent and bills STILL DUE.   The credit card company, XXXX, is refunding my account - but the transaction should have been declined by PNC Bank in the first place, because now I will have late payment charges for my rent and other bills since that process takes 5 days.   This should never have occurred in the first place. The charge should have been declined for insufficient funds, leaving my bank balance intact.   ",cthieme@purdue.edu,0
2850,I applied for a loan with Chase Bank. I was denied they say based on credit report from XXXX. They stated ( 1 ) serious delinquency ( 2 ) Number of accounts delinquent ( 3 ) Too high revolving or revolving accounts ( 4 ) length of time since accounts delinquent. This is false. # XXXX Public record ago paid. I have no accounts delinquent. I have no high credit balances as XXXX dollars was in my Chase account. Length of time?????   ,zhan1565@purdue.edu,1
2851,"I 'm very frustrated with Bank Of America my husband checks are deposited by weekly and he has the same amount and they do n't want to process my husbands checks because they said to me the check images were bad but that was completely not true and then they said their is a problem with my husbands boss ' bank which is also untrue and come to find out after a 4-5 days the checks go through and the money gets deposited. I recently started working and they are also doing the same thing to me they do n't want to deposit my money until 4-5 days later during this time my bills wo n't get paid on time, I ca n't buy food because we do n't use credit cards we use our bank card or cash, my family needs to eat and buy necessary items that I ca n't buy and my babysitter is n't getting paid or my house is n't getting paid. I 'm a loyal customer to BOA and I have to pay overdraft fees every other week because BOA wo n't credit my checks to my account my over draft fees are now XXXX and counting last time I paid XXXX which happened daily. I do n't want to leave BOA but will do so if my overdraft fees are n't refunded and my checks are cleared by weekly I ca n't afford to give away my hard earned money to BOA this is n't fair to me or my family or to my bills or things I need to buy and my family is n't happy with me and wants these issues with my checks and overdraft fees resolved as I do. I never been so upset and I want to deposit my checks and BOA wo n't let me all of my coworkers are n't having this problem and my husband who is working for the same employer for more than 2 years never had a problem until XX/XX/2015- and currently. Hopefully you can resolve my issues and BOA starts checking my checks properly and never overdrafts me ever again because of you help. I do n't know what to do anymore and tirelessly called but no care in the world from BOA and feel helpless that 's why I 'm turning to you for help because I do n't know what more I can do if I know this is injustice but BOA does n't properly check their customers checks.   ",agosnell@purdue.edu,0
2856,"I opened an account with Synchrony Bank for an XXXX XXXX XXXX in XXXX of 2015. I made my first purchase on XXXX XXXX, 2015, with my first scheduled payment due XXXX XXXX, 2015 for {$25.00}. On XXXX XXXX, 2015 I made my first payment of {$30.00} to Synchrony. I have paid every month this way on the XXXX of each month with the payment being due each XXXX. Instead of being given credit for early payments, the bank considers me 'late ' each month and assesses me a late fee of {$35.00}. I called about it and was told that my XXXX payment does not count, but instead would be applied as a double payment for XXXX 2015. I am considered late although I paid on time, even early. Synchrony refuses to budge.   ",dean24@purdue.edu,0
2857,Hi my bank account was basically stolen and is being withdrawed of a lot of money   ,cthieme@purdue.edu,0
2860,"I put my money in XXXX XXXX XXXX XXXX. in XXXX XXXX, Mo., when XXXX XXXX was the president than he and my money was transferred to XXXX XXXX in XXXX XXXX Mo., where XXXX XXXX was also the Banks President. Now my money ( XXXX dollars ) and XXXX XXXX has disappeared. my name is XXXX XXXX XXXX and my address is XXXX XXXX XXXX XXXX  XXXX XXXX   ",zheng216@purdue.edu,1
2862,"About a year ago and a half i surrended voluntarily a car to First Bank of Puerto Rico inability to pay because I was in a lawsuit contesting paternity of a child under age XXXX it was discovered that was not my legal son and I had very many legal expenses, after having delivered the car to First Bank they sent me a letter charging me {$4.00} dollars because they sold the car at auction and what lost me were charging.   A year and three months later the FB entered my checking account and they seized {$1.00} dollars without my autorization authorizing themselves without notifying me anything. At the time I thought it was fraud and when I went to the bank said it was time to hand over the car and that 's why they themselves appropriated money.   First I have never authorized anyone to retire money from my account and there is also no statement yet against me where it is ordered seize money from my checking account   ",dean24@purdue.edu,0
2872,"Hello, I 'm a XXXX and a new Chase Bank checking account customer. I was familiar with the case against XXXX Bank XXXX. in which they failed to correct deposit discrepancies below a certain threshold, resulting in millions of dollars in lost funds to depositors. Today I received a notice with my bank statement from Chase informing me that there were going to be changes to my account terms. XXXX of them included a statement that any deposit slip discrepancies below {$10.00} would not be corrected unless they were found by the account holder and reported within a certain timeframe. This would result in the same situation that occurred with XXXX Bank XXXX. I submitted an email to Chase, and included a link to the press release for XXXX. I have only made XXXX in-person deposits to my Chase account, the rest have been electronic. XXXX deposit was made via their ATM, and it did not have an option to use a deposit slip or a deposit envelope. The deposit amount was determined via an internal scanner. There is also no envelope for depositing cash, you just feed cash into the machine. Due to potential mechanical failure, I have chosen not to deposit cash through this machine. I prefer to have a sealed envelope, with no risk of comingling of cash that might make it impossible to fix a system glitch. Additionally, I prefer to calculate my deposit and write in on the envelope. I understand that there is a risk of fraud by consumers who deposit empty envelopes, however, if you are n't going to correct discrepancies and rely on a computer to complete the transaction, then there is a much greater risk to consumers, as proven with the case of XXXX Bank.   ",dai77@purdue.edu,0
2879,"Ca n't cash IRS refund check at any store, i.e. XXXX or XXXX. Contacted Certegy and it was useless. Said it was risk factors set up in the software. Now have no idea what to do. How is it possible that there is a risk factor in cashing an IRS check?   ",mcarrasc@purdue.edu,0
